,ideology,state,name,party,twitter_handler
194,0.4900733176231379,AZ,Tom O’Halleran,D,
195,0.4993186503375753,CA,Kevin McCarthy,R,@GOPLeader
196,0.5190682945947543,CA,Jim Costa,D,@RepJimCosta
197,0.5194228544582105,OR,Kurt Schrader,D,@RepSchrader
198,0.5317388314314748,TX,Vicente Gonzalez,D,@RepGonzalez
199,0.5326364068654876,MI,Justin Amash,R,@justinamash
200,0.5487806391536213,TX,Michael Cloud,R,@RepCloudTX
201,0.5611410369358477,NJ,Josh Gottheimer,D,@RepJoshG
202,0.5729460298921204,WI,Ron Kind,D,@RepRonKind
203,0.5729909978311186,FL,Ileana Ros-Lehtinen,R,
204,0.5892913065467105,WA,David Reichert,R,
205,0.5916519876895251,NJ,Rodney Frelinghuysen,R,
206,0.5930071772486832,GA,Rob Woodall,R,@RepRobWoodall
207,0.5945431663533869,NC,Patrick McHenry,R,@PatrickMcHenry
208,0.6020364159864601,VA,Scott Taylor,R,
209,0.6020535016007562,PR,Jenniffer González-Colón,R,
210,0.6032063420563274,NY,Tom Reed,R,@RepTomReed
211,0.6061905884382693,KY,Hal Rogers,R,@RepHalRogers
212,0.610015307897227,NJ,Frank LoBiondo,R,
213,0.6133674434065389,SC,Trey Gowdy,R,
214,0.6161452087308867,LA,Steve Scalise,R,@SteveScalise
215,0.6193680590936247,ID,Mike Simpson,R,@CongMikeSimpson
216,0.6235844049900682,FL,Mario Diaz-Balart,R,@MarioDB
217,0.6257714068628111,FL,Vern Buchanan,R,@VernBuchanan
218,0.6262327309988271,AS,Aumua Amata,R,
219,0.6288106544500294,TX,Henry Cuellar,D,@RepCuellar
220,0.6299079212899442,KY,Thomas Massie,R,@RepThomasMassie
221,0.6350507405775516,CA,Ed Royce,R,
222,0.6350646505256955,NC,Virginia Foxx,R,@virginiafoxx
223,0.6403011417155928,SC,Mark Sanford,R,
224,0.6407339591301899,OR,Greg Walden,R,@repgregwalden
225,0.6459747712517935,TX,Mac Thornberry,R,
226,0.6476432080775153,TX,Kay Granger,R,@RepKayGranger
227,0.6484763356350953,CA,Devin Nunes,R,@RepDevinNunes
228,0.6487383611903363,NJ,Leonard Lance,R,
229,0.6495910339273284,CA,Dana Rohrabacher,R,
230,0.6510796343420152,PA,Ryan Costello,R,
231,0.6518687009003845,NJ,Tom MacArthur,R,
232,0.6526243349551789,MN,Jason Lewis,R,
233,0.6565556432240213,NY,Daniel Donovan,R,
234,0.6590935968790771,UT,John Curtis,R,@RepJohnCurtis
235,0.6594761426523226,CA,Darrell Issa,R,
236,0.6606543370282332,NY,Pete King,R,@RepPeteKing
237,0.6610874651245915,MI,Fred Upton,R,@RepFredUpton
238,0.6615539208348995,PA,Bill Shuster,R,
239,0.662610319595245,NY,John Katko,R,@RepJohnKatko
240,0.6627954962037675,WA,Jaime Herrera Beutler,R,@HerreraBeutler
241,0.664051310870137,CA,Jeff Denham,R,
242,0.6655768109086597,LA,Garret Graves,R,@RepGarretGraves
243,0.6683812471893573,TX,Will Hurd,R,@HurdOnTheHill
244,0.6700259323166833,CA,Mimi Walters,R,
245,0.6732160080661004,ID,Raúl Labrador,R,
246,0.6738446313447883,IN,Trey Hollingsworth,R,@RepTrey
247,0.6769867480301616,AL,Martha Roby,R,@RepMarthaRoby
248,0.6782389777882074,FL,Brian Mast,R,@RepBrianMast
249,0.6786254514597734,NJ,Chris Smith,R,@RepChrisSmith
250,0.6794425173235219,AZ,Debbie Lesko,R,@RepDLesko
251,0.6803930946948809,TX,Joe Barton,R,
252,0.6820062776789374,AL,Gary Palmer,R,@USRepGaryPalmer
253,0.6825253315467171,WY,Liz Cheney,R,@RepLizCheney
254,0.6826404036430493,OK,Steve Russell,R,
255,0.6841419656067136,TX,Kevin Brady,R,@RepKevinBrady
256,0.6937857499518171,IL,Peter Roskam,R,
257,0.6974953127755302,AZ,Kyrsten Sinema,D,@SenatorSinema
258,0.6983963678933366,IL,John Shimkus,R,@RepShimkus
259,0.6984530665296413,UT,Mia Love,R,
260,0.6991431704526393,NY,John Faso,R,
261,0.699309879617638,NE,Adrian Smith,R,@RepAdrianSmith
262,0.6996129513304419,GA,Karen Handel,R,
263,0.6999394438368088,AK,Don Young,R,@repdonyoung
264,0.7007034972615607,KY,James Comer,R,@KYComer
265,0.7016085955480498,IL,Adam Kinzinger,R,@RepKinzinger
266,0.7024561092818974,TX,John Carter,R,
267,0.7025895781131019,AR,Steve Womack,R,@rep_stevewomack
268,0.7031122001327134,WA,Cathy McMorris Rodgers,R,
269,0.7035189941592612,MI,Dave Trott,R,
270,0.7074399387033364,OK,Frank Lucas,R,@RepFrankLucas
271,0.7093291648230139,CA,Steve Knight,R,
272,0.7093877926116321,MN,Collin Peterson,D,
273,0.7094041103913421,MI,Jack Bergman,R,
274,0.7102561220874158,OH,Warren Davidson,R,@WarrenDavidson
275,0.7105799334586151,SC,Tom Rice,R,@RepTomRice
276,0.7130492078028503,MN,Erik Paulsen,R,
277,0.7140948339075904,TX,Michael Conaway,R,
278,0.7181975193938069,OH,Jim Jordan,R,@Jim_Jordan
279,0.7190961204558299,AZ,Martha McSally,R,@SenMcSallyAZ
280,0.7194678909584877,IA,Rod Blum,R,
281,0.7223148409477435,PA,Tom Marino,R,
282,0.7225205126585867,TN,David Kustoff,R,@RepDavidKustoff
283,0.722577777098881,NE,Jeff Fortenberry,R,@JeffFortenberry
284,0.7233432048618321,MO,Sam Graves,R,
285,0.7236993263637358,NV,Mark Amodei,R,
286,0.7264831423654168,FL,Carlos Curbelo,R,
287,0.7302824873838253,KS,Kevin Yoder,R,
288,0.7303491296537231,VA,Barbara Comstock,R,
289,0.7314924419064425,OH,David Joyce,R,
290,0.7316398705406182,OH,Michael Turner,R,
291,0.7324885650453273,FL,Thomas Rooney,R,
292,0.733938482569702,VA,Morgan Griffith,R,@RepMGriffith
293,0.7352001667217104,FL,John Rutherford,R,@RepRutherfordFL
294,0.7354214022338871,CO,Ken Buck,R,@RepKenBuck
295,0.7358381721684796,AL,Mike Rogers,R,@RepMikeRogersAL
296,0.7379877263448299,PA,Brian Fitzpatrick,R,@RepBrianFitz
297,0.7387141258664129,WI,Sean Duffy,R,@RepSeanDuffy
298,0.7421342728205266,MT,Greg Gianforte,R,
299,0.7422184194090088,TX,Michael Burgess,R,
300,0.7436248781533729,TN,Jimmy Duncan,R,
301,0.7436642095781105,AL,Robert Aderholt,R,@Robert_Aderholt
302,0.7436897966205708,UT,Rob Bishop,R,@RepRobBishop
303,0.7442715763726389,GA,Doug Collins,R,@RepDougCollins
304,0.7449177723123053,VA,Bob Goodlatte,R,
305,0.7462318255177863,IL,Darin LaHood,R,@RepLaHood
306,0.7472045810047417,NC,George Holding,R,@RepHolding
307,0.7506855579634911,KS,Ron Estes,R,@RepRonEstes
308,0.7547422702745722,TX,Jeb Hensarling,R,
309,0.7548953709021011,CA,Ken Calvert,R,@KenCalvert
310,0.7574673975643641,NY,Lee Zeldin,R,@RepLeeZeldin
311,0.7579434630912273,AR,Rick Crawford,R,@RepRickCrawford
312,0.7581963652734018,TN,Chuck Fleischmann,R,@RepChuck
313,0.7593431767511268,LA,Clay Higgins,R,@RepClayHiggins
314,0.7646674872912821,GA,Tom Graves,R,@RepTomGraves
315,0.7660885348418127,CA,Paul Cook,R,@RepPaulCook
316,0.766974358534176,AR,French Hill,R,@RepFrenchHill
317,0.767323249523052,OK,Markwayne Mullin,R,@RepMullin
318,0.768326965910473,WV,David McKinley,R,@RepMcKinley
319,0.7686827406365297,NY,Chris Collins,R,@RepChrisCollins
320,0.7698820340642042,IL,Rodney Davis,R,
321,0.7715078243363717,ME,Bruce Poliquin,R,
322,0.7716559389042275,OH,Brad Wenstrup,R,@RepBradWenstrup
